index,sentiment,cum_sentiment
0.0,-0.31632653061224492,-31.0
1.0,0.22123893805309736,25.0
2.0,0.31034482758620691,18.0
3.0,0.40909090909090912,9.0
4.0,0.69230769230769229,18.0
5.0,0.14772727272727273,13.0
6.0,0.24324324324324326,9.0
7.0,-0.32142857142857145,-54.0
8.0,-0.88571428571428568,-93.0
9.0,-0.55384615384615388,-36.0
10.0,0.52127659574468088,49.0
11.0,0.34693877551020408,17.0
12.0,-0.34782608695652173,-24.0
13.0,-0.77777777777777779,-21.0
14.0,1.5172413793103448,44.0
15.0,0.046875,3.0
16.0,1.0476190476190477,44.0
17.0,0.045454545454545456,2.0
18.0,0.77500000000000002,62.0
19.0,0.56896551724137934,33.0
20.0,0.066666666666666666,3.0
21.0,0.88888888888888884,40.0
22.0,0.77272727272727271,34.0
23.0,0.13157894736842105,5.0
24.0,0.32608695652173914,15.0
25.0,0.66666666666666663,22.0
26.0,0.22413793103448276,13.0
27.0,-0.089285714285714288,-5.0
28.0,0.21276595744680851,10.0
29.0,0.76470588235294112,13.0
30.0,1.1515151515151516,38.0
31.0,0.75641025641025639,59.0
32.0,0.24242424242424243,8.0
33.0,0.1744186046511628,15.0
34.0,-0.2558139534883721,-22.0
35.0,0.68421052631578949,39.0
36.0,0.63076923076923075,41.0
37.0,1.1956521739130435,165.0
38.0,0.069767441860465115,3.0
39.0,0.11538461538461539,6.0
40.0,0.47727272727272729,21.0
41.0,0.17543859649122806,10.0
42.0,1.0123456790123457,82.0
43.0,-0.11956521739130435,-11.0
44.0,0.45454545454545453,35.0
45.0,0.0,0.0
46.0,-0.15671641791044777,-21.0
47.0,1.1935483870967742,37.0
48.0,1.1754385964912282,67.0
49.0,0.36231884057971014,25.0
50.0,1.2727272727272727,56.0
51.0,1.1363636363636365,50.0
52.0,-0.037735849056603772,-4.0
53.0,0.97619047619047616,41.0
54.0,0.81999999999999995,82.0
55.0,-0.033333333333333333,-1.0
56.0,0.40259740259740262,31.0
57.0,0.71794871794871795,56.0
58.0,-0.05737704918032787,-7.0
59.0,0.98901098901098905,90.0
60.0,-0.17142857142857143,-6.0
61.0,1.5384615384615385,60.0
62.0,0.17391304347826086,12.0
63.0,0.74468085106382975,70.0
64.0,0.58227848101265822,46.0
65.0,0.31395348837209303,27.0
66.0,1.1129032258064515,69.0
67.0,0.5,16.0
68.0,0.68888888888888888,31.0
69.0,0.24074074074074073,13.0
70.0,-0.49367088607594939,-39.0
71.0,1.3714285714285714,96.0
72.0,-0.29292929292929293,-29.0
73.0,0.47619047619047616,40.0
74.0,0.36363636363636365,8.0
75.0,0.97368421052631582,37.0
76.0,0.73949579831932777,88.0
77.0,0.19402985074626866,13.0
78.0,0.84999999999999998,34.0
79.0,-0.45098039215686275,-23.0
80.0,0.89473684210526316,68.0
81.0,-0.70370370370370372,-19.0
82.0,0.78125,25.0
83.0,1.0975609756097562,90.0
84.0,0.58823529411764708,30.0
85.0,0.61016949152542377,36.0
86.0,0.29629629629629628,24.0
87.0,0.7441860465116279,32.0
88.0,0.41666666666666669,15.0
89.0,0.76470588235294112,39.0
90.0,1.0454545454545454,69.0
91.0,0.20253164556962025,16.0
92.0,0.92307692307692313,36.0
93.0,0.070000000000000007,7.0
94.0,0.74117647058823533,63.0
95.0,0.5357142857142857,15.0
96.0,-0.14285714285714285,-2.0
97.0,-0.27659574468085107,-13.0
98.0,-0.18181818181818182,-2.0
99.0,0.81481481481481477,22.0
100.0,-0.013513513513513514,-1.0
101.0,0.38372093023255816,33.0
102.0,0.33050847457627119,39.0
103.0,0.76190476190476186,32.0
104.0,0.49019607843137253,25.0
