index,tfidf_score
922.0,492.26391331472331
692.0,1224.9533763430429
490.0,509.5709679658666
839.0,442.62513470996072
281.0,467.65853978630599
413.0,620.97638827139849
512.0,326.58878358863876
380.0,926.42384488339417
332.0,582.59461654571589
655.0,258.55642629173332
526.0,598.98102081702757
1842.0,462.82774888211395
894.0,451.56625923464634
1.0,319.62896934020529
669.0,480.93143467248859
294.0,482.36848668877582
786.0,372.64138271466197
679.0,495.66115937877413
73.0,392.67536925403709
362.0,689.95599223195347
489.0,484.63078334626164
1533.0,502.55140035749406
394.0,471.27855359269387
785.0,319.83034164172818
1020.0,685.44927906820624
328.0,371.61092001227343
783.0,838.161385069326
1953.0,513.6174282143586
1809.0,546.09992993054937
2020.0,194.0628689303866
676.0,301.18100600204201
639.0,492.3145748011757
203.0,479.91190566309496
505.0,638.15051734225744
1747.0,427.49171516534136
891.0,667.93697478999127
2125.0,798.88455992717923
1203.0,574.92636382437354
414.0,412.98500941592022
534.0,533.31914027700611
511.0,549.23132186857652
767.0,967.27555385219625
297.0,664.88843146718705
1494.0,672.81851916311905
689.0,329.24742450682356
1101.0,611.8879393948323
1852.0,663.46642409170011
336.0,535.23086447307719
1883.0,557.57737003979321
1319.0,662.63734285352405
386.0,524.76452588037932
1099.0,457.50258683812621
309.0,847.17933525924298
632.0,431.52653900464333
276.0,549.3521163423037
833.0,275.34315742158276
94.0,561.42640917439837
646.0,718.71707863394818
306.0,1016.3427531246537
193.0,691.33624358285238
1348.0,284.24969069600911
969.0,584.12572300294892
1448.0,691.90254363368024
556.0,552.80088646502929
1514.0,650.96093241197991
324.0,842.81438097250452
925.0,499.13738335873882
789.0,313.39632449399977
1512.0,644.81515525096847
1912.0,470.6106566640297
1450.0,585.23621778742643
686.0,653.94409113609822
311.0,702.25016441881439
934.0,1183.9141214533054
843.0,395.15699102772481
58.0,452.96802406578507
738.0,690.53411664648377
422.0,560.99443036443506
1199.0,384.65284990084172
411.0,577.19009015092786
683.0,736.62417240117691
1717.0,646.48679996725969
896.0,312.48414965541662
533.0,533.65048783820771
520.0,411.57522971754076
228.0,477.87893974110131
775.0,506.76167455368153
290.0,712.81710447054002
979.0,494.8202059632892
1366.0,514.18826167020154
918.0,612.12859239920397
293.0,866.13461961322423
1681.0,574.21188263430736
221.0,814.5665582878097
162.0,1057.7796010845302
549.0,391.76126613053685
1476.0,371.77684394561658
812.0,573.79473541369282
578.0,384.28907472560741
1929.0,652.24092037354569
1469.0,629.27386445909565
582.0,606.15902857619903
539.0,713.96757948712764
1758.0,359.81719682459504
41.0,663.53258587582741
938.0,283.08298485130791
1283.0,388.13799527595228
1665.0,592.74964178385642
